T,s,MISE
800,5,0.0007514732433689836
800,6,0.0015086752878413355
800,7,0.002252175582730675
800,8,0.001718878453893673
800,9,0.0011558811444297935
800,10,0.00219041236651972
800,11,0.001895180456705692
800,12,0.003277946890285502
800,13,0.00033889916915302463
800,14,0.0019287230595232399
800,15,0.0022821053714410944
800,16,0.0009658727685931034
800,17,0.001469390593459785
800,18,0.002880571681344734
800,19,0.0047376539292277
800,20,0.0034324448934973796
800,21,0.0009497439264499522
800,22,0.0009836945453220076
800,23,0.0005974190439058548
800,24,0.000825710890823836
800,25,0.0008630697555279006
800,26,0.0009505125332650029
800,27,0.0022605598239330543
800,28,0.0007948828893709875
800,29,0.0019012744795339892
800,30,0.003609787309485071
800,31,0.0015243283670336608
800,32,0.0007405135405474119
800,33,0.0014530849668010304
800,34,0.0007386876251200439
800,35,0.000844580565034166
800,36,0.0005838733674330815
800,37,0.0005833873098002238
800,38,0.0012604828672489884
800,39,0.0025268180575634676
800,40,0.0027914326323701267
800,41,0.0002598278186796405
800,42,0.0010810184036620873
800,43,0.0017954442381232613
800,44,0.0017157061202524805
800,45,0.0018554893792761618
800,46,0.0014160587825900483
800,47,0.002726930549365502
800,48,0.001403317930126114
800,49,0.0014594675579754654
850,0,0.0010962292419511134
850,1,0.0021798401568711213
850,2,0.001230065730717005
850,3,0.0029794568831716293
850,4,0.0018069397839452878
850,5,0.002416247510038382
850,6,0.0020958787192477697
850,7,0.0015350546768254755
850,8,0.004104751395605967
850,9,0.0003360519786788658
850,10,0.0019973817952363285
850,11,0.0015665586672678725
850,12,0.001271771143221536
850,13,0.0006435868574447465
850,14,0.002885451748734632
850,15,0.0009873233028408748
850,16,0.00044758095999302284
850,17,0.0024822171983188723
850,18,0.0024655363281329418
850,19,0.002045070152166641
850,20,0.003217421055839368
850,21,0.0027956115149961286
850,22,0.0007677786806757541
850,23,0.007429289410443041
850,24,0.0011339697087831802
850,25,0.001952112179362532
850,26,0.0008582049266661463
850,27,0.0008127829732964447
850,28,0.0019130539366378166
850,29,0.0011307184991473497
850,30,0.0007716093187770706
850,31,0.0018159313533863317
850,32,0.00392193892462379
850,33,0.001772250638005502
850,34,0.0018039290522119085
850,35,0.0006717158737791611
850,36,0.0017156757329767733
850,37,0.0007427034515796653
850,38,0.0006538290293097225
850,39,0.002237396095659682
850,40,0.006057189572008281
850,41,0.000859001411723273
850,42,0.0024099435785134866
850,43,0.0023902703261533915
850,44,0.000908938505809003
850,45,0.001306265165552507
850,46,0.0008819591741136112
850,47,0.001654248548771765
850,48,0.0008443189722902191
850,49,0.0009592768564720311
900,0,0.0009592073142672855
900,1,0.0007030304940977078
900,2,0.0012428515037169509
900,3,0.0014687027476422154
900,4,0.0013768631692419606
900,5,0.002212577240309099
900,6,0.0007245447061230896
900,7,0.0007979637964611151
900,8,0.0020691176575587437
900,9,0.0011762359809413458
900,10,0.0010628706452358086
900,11,0.002036037131249232
900,12,0.0005001063774831698
900,13,0.0008392847074782619
900,14,0.0007706315961024552
900,15,0.005889278650822829
900,16,0.0006348145379740072
900,17,0.002622666319950579
900,18,0.0017875435925788457
900,19,0.0008640776457957384
900,20,0.0012313108707433017
900,21,0.00092783368678691
900,22,0.001665230942899111
900,23,0.001961064519915353
900,24,0.0012967117390429092
900,25,0.0011827013104696296
900,26,0.0006250360121604767
900,27,0.004772729685163794
900,28,0.0014161400275234373
900,29,0.001289665944521308
900,30,0.0012004280349738787
900,31,0.0020499275586588544
900,32,0.000953120503175935
900,33,0.0019067298893697445
900,34,0.000808535467905522
900,35,0.0014474550880292341
900,36,0.000824993691318669
900,37,0.0016431827742830986
900,38,0.00225605929151905
900,39,0.0009214477460029782
900,40,0.0009493651598878772
900,41,0.0005471420762211185
900,42,0.0005986140463347884
900,43,0.0009009685588135982
900,44,0.003279897087153766
900,45,0.0010122468066472408
900,46,0.0008454915836254151
900,47,0.0006528530462401272
900,48,0.0026804413222261
900,49,0.0017500407516604388
950,0,0.0011686686258120184
950,1,0.0040461025874584606
950,2,0.0015157023708418373
950,3,0.001750466767557304
950,4,0.0014476522384867902
950,5,0.0003331753902390817
950,6,0.0016276650414238428
950,7,0.0007472765737074725
950,8,0.001037676630022163
950,9,0.002264472267333175
950,10,0.0006794806390195186
950,11,0.0013379210038598122
950,12,0.0019254416489789044
950,13,0.0026974273751051714
950,14,0.0004277014003955687
950,15,0.0008168847907922946
950,16,0.0008014033845953633
950,17,0.0008815111089878125
950,18,0.0008814412778453538
950,19,0.0031735437922337604
950,20,0.00045162540481752183
950,21,0.0011783668582191972
950,22,0.0020876373188761176
950,23,0.00036169255588155253
950,24,0.0018706126582557407
950,25,0.0012498598991550727
950,26,0.0015401353701950964
950,27,0.0005426151488059862
950,28,0.0008006720664886313
950,29,0.0007602075481586395
950,30,0.0015800266940370364
950,31,0.0017549041608894151
950,32,0.0019169653332653347
950,33,0.002821947814235962
950,34,0.0026722498222312187
950,35,0.0008678558211104719
950,36,0.0012810780445930924
950,37,0.002452028744990774
950,38,0.0013722985108176261
950,39,0.0011933018453195306
950,40,0.0011138984086274644
950,41,0.004332642376473763
950,42,0.0012280973499039795
950,43,0.0016304516164412886
950,44,0.002596949563201788
950,45,0.002690044655736632
950,46,0.0017598984097842454
950,47,0.0014508687266854131
950,48,0.0004533102705011592
950,49,0.0008537163626200182
1000,0,0.003992724502531803
1000,1,0.0014154857765773243
1000,2,0.0007113736284261892
1000,3,0.0007184148850671731
1000,4,0.0008792192008281181
1000,5,0.001234157445882591
1000,6,0.001067393049295322
1000,7,0.0018716742808180965
1000,8,0.001008360184041001
1000,9,0.0006360049370920044
1000,10,0.0012640133094389033
1000,11,0.0011102055269791046
1000,12,0.0008528111956110924
1000,13,0.0005774559204237058
1000,14,0.0007969626222548916
1000,15,0.0008305285126281854
1000,16,0.0008848495256222916
1000,17,0.0008563731783355036
1000,18,0.0012371861809733367
1000,19,0.0010943572997914718
1000,20,0.0012486452198264971
1000,21,0.002900954073334804
1000,22,0.001181027940866099
1000,23,0.001496605047529484
1000,24,0.0024445579503177524
1000,25,0.0028936105967908676
1000,26,0.002926406311001919
1000,27,0.0017530073128812953
1000,28,0.0006226932545148178
1000,29,0.0023118114680885254
1000,30,0.0012770970069156627
1000,31,0.0010861338392981414
1000,32,0.0006495319186494344
1000,33,0.0011107732351399607
1000,34,0.0013474817605632601
1000,35,0.0006482502207202616
1000,36,0.0016297480547202553
1000,37,0.0021389902172032627
1000,38,0.0005814958746788193
1000,39,0.0008825775088667195
1000,40,0.001203717436647959
1000,41,0.0012100730044245249
1000,42,0.0014691183501244233
1000,43,0.0019038160945371216
1000,44,0.0019795110246787926
1000,45,0.001463007597623574
1000,46,0.001506062904725575
1000,47,0.0018949874178259907
1000,48,0.002188263336064782
1000,49,0.0009836809605319164
1050,0,0.0008625044413711053
1050,1,0.0009050786910125389
1050,2,0.0009931338172033666
1050,3,0.0014792180811329645
1050,4,0.0013384122689352389
1050,5,0.0003096751171938115
1050,6,0.002714290127388271
1050,7,0.0006479319672970655
1050,8,0.0009511635972970616
1050,9,0.0016451880899934614
1050,10,0.001221397315278591
1050,11,0.0014382392472207727
1050,12,0.0011049294143681634
1050,13,0.0032165795990365133
1050,14,0.002065524074651451
1050,15,0.001640463413807553
1050,16,0.0029626072161790537
1050,17,0.006260229500900765
1050,18,0.0028813909032221058
1050,19,0.0010612678362042522
1050,20,0.00042029150411734947
1050,21,0.0023994158930337414
1050,22,0.0025052103956782665
1050,23,0.0007271489777137374
1050,24,0.002881447054081022
1050,25,0.0005725356065270607
1050,26,0.000877932942769717
1050,27,0.0005496306563219952
1050,28,0.0019148416543039476
1050,29,0.0003200827976489129
1050,30,0.0005669110839188487
1050,31,0.0053436496117780456
1050,32,0.0003553769844943712
1050,33,0.0015237078689998044
1050,34,0.0007566315330461846
1050,35,0.0025821372684935525
1050,36,0.000861707792203612
1050,37,0.0009863880190961701
1050,38,0.0005293956851913618
1050,39,0.004475403543625385
1050,40,0.0010360187370885
1050,41,0.0019335996432249289
1050,42,0.0004291539523239079
1050,43,0.00045264241732217346
1050,44,0.0007741863089943498
1050,45,0.0012334208953297037
1050,46,0.000620947359676525
1050,47,0.0012634420939521547
1050,48,0.001275183551887793
1050,49,0.0010753133692515838
1100,0,0.0006207847651480094
1100,1,0.0023774176201949433
1100,2,0.0014303482224362091
1100,3,0.0018763801252694274
1100,4,0.0012228975532007891
1100,5,0.001544253718374247
1100,6,0.00045178048423271414
1100,7,0.000616365901313021
1100,8,0.0007636108401479453
1100,9,0.00043960361373130736
1100,10,0.001781969470271689
1100,11,0.0010457315293133415
1100,12,0.002095959246689428
1100,13,0.000815706442227179
1100,14,0.0012554472749782277
1100,15,0.0017941353330950829
1100,16,0.0003783897098057652
1100,17,0.004210068250439254
1100,18,0.00035866994900860764
1100,19,0.0009092674345023915
1100,20,0.0011289937875191421
1100,21,0.0034188184758174316
1100,22,0.0007485985767089973
1100,23,0.0007708055719151059
1100,24,0.0007450292007205388
1100,25,0.001219128515399179
1100,26,0.00032170017128568503
1100,27,0.0011511472243344487
1100,28,0.0009993418849597571
1100,29,0.0004289243488177003
1100,30,0.0014688725323609817
1100,31,0.0007966205720907507
1100,32,0.003999820492857017
1100,33,0.000601420992380761
1100,34,0.0013652381918889233
1100,35,0.0007419120999589272
1100,36,0.0022134635130795395
1100,37,0.00041318363015866013
1100,38,0.0012764338473850426
1100,39,0.0007125502473920525
1100,40,0.0006153301784916881
1100,41,0.0004689637208018714
1100,42,0.0009080026950346228
1100,43,0.0003058731021029744
1100,44,0.00185967483858295
1100,45,0.0009387684284421715
1100,46,0.0006569090782418481
1100,47,0.0010339463986047137
1100,48,0.0011332853917470301
1100,49,0.0007733185545659991
1150,0,0.0011136149849139056
1150,1,0.00339041502185605
1150,2,0.0010433925502478167
1150,3,0.0005468130283426407
1150,4,0.005388903214535828
1150,5,0.0027662900322841717
1150,6,0.0008003804128953332
1150,7,0.0006002680776106109
1150,8,0.0010212989056029853
1150,9,0.0009394128237533489
1150,10,0.002718177906098703
1150,11,0.001284219976941161
1150,12,0.0017115879089404256
1150,13,0.0005499983812225083
1150,14,0.0010401784857640452
1150,15,0.0006898249370624193
1150,16,0.0008355656595996905
1150,17,0.0016401368136942727
1150,18,0.002329584116529538
1150,19,0.0005667510610812752
1150,20,0.001612734531772166
1150,21,0.0011895912376910641
1150,22,0.0006301994388221348
1150,23,0.001945782593767449
1150,24,0.0014759813193332984
1150,25,0.0008034942339880208
1150,26,0.0014803762610929498
1150,27,0.0010444739844571434
1150,28,0.0006881643287482471
1150,29,0.0009667950784786949
1150,30,0.002436996987153668
1150,31,0.002635410499416918
1150,32,0.0007778366639278496
1150,33,0.0005470951573072549
1150,34,0.0009144711769251139
1150,35,0.0007865459371642771
1150,36,0.0006551548720863848
1150,37,0.0007330010355517115
1150,38,0.008438993687370383
1150,39,0.0008293519139895213
1150,40,0.0007948475722408791
1150,41,0.000977432647082648
1150,42,0.001930655434126145
1150,43,0.001710292975444143
1150,44,0.0013217450656974462
1150,45,0.0011812420481118783
1150,46,0.0037164880580459205
1150,47,0.003797424571945295
1150,48,0.000501381764223562
1150,49,0.0007428909585805456
1200,0,0.00045520210892136215
1200,1,0.0015745837344906914
1200,2,0.0006109361989434771
1200,3,0.0005314489097764817
1200,4,0.000551718804460243
1200,5,0.0007328196084297884
1200,6,0.0019093387835019285
1200,7,0.0007208313345361324
1200,8,0.0006483246957945671
1200,9,0.0022716773114763006
1200,10,0.003875332766864608
1200,11,0.002354835353236302
